"YEAR","MONTH","DAY","STID","TMAX","TMIN","HAVG","WSMX","WSMN","RAIN","SAVG"
2016,1,1,ALTU,40.71,30.66,78.12,13.04,3.53,0.12,40.35
2016,1,1,BEAV,42.76,13.55,67.45,13.69,0.39,0.00,34.68
2016,1,1,NRMN,42.29,25.67,75.78,11.24,0.38,0.00,40.56
2016,1,1,TISH,47.32,28.00,69.60,12.07,1.82,0.00,41.60
2016,1,1,TULN,44.43,25.27,71.84,10.55,0.06,0.02,41.82
2016,1,2,ALTU,49.39,29.85,81.35,13.50,0.49,0.06,41.17
2016,1,2,BEAV,50.22,16.05,59.19,12.08,3.74,0.00,34.42
2016,1,2,NRMN,49.73,27.96,71.16,12.27,1.90,0.00,39.42
2016,1,2,TISH,46.28,31.07,62.78,8.75,1.44,0.00,40.87
2016,1,2,TULN,53.02,30.13,61.58,11.28,1.93,0.00,41.54
2016,1,3,ALTU,47.95,27.31,77.20,18.41,2.32,0.00,41.15
2016,1,3,BEAV,51.15,19.26,56.59,11.54,0.00,0.00,34.79
2016,1,3,NRMN,47.35,25.48,72.75,15.48,0.04,0.00,39.18
2016,1,3,TISH,54.12,25.73,66.98,14.63,3.02,0.00,40.57
2016,1,3,TULN,47.46,27.65,71.23,11.35,0.00,0.00,41.06
2016,1,4,ALTU,46.38,25.77,82.13,10.19,1.14,0.00,40.92
2016,1,4,BEAV,47.98,14.18,73.97,14.90,0.00,0.00,34.61
2016,1,4,NRMN,48.04,23.60,71.93,10.39,1.67,0.00,39.28
2016,1,4,TISH,49.39,28.14,66.11,13.08,3.47,0.00,39.91
2016,1,4,TULN,34.41,23.54,86.53,11.26,1.84,0.00,39.87
2016,1,5,ALTU,44.50,28.16,87.35,17.23,4.65,0.06,40.54
2016,1,5,BEAV,44.10,26.76,78.32,24.67,8.12,0.00,35.66
2016,1,5,NRMN,44.11,22.21,75.87,14.75,0.18,0.00,38.98
2016,1,5,TISH,43.52,25.36,77.04,13.05,3.30,0.00,38.90
2016,1,5,TULN,41.51,20.93,72.71,13.47,0.00,0.00,38.93
2016,1,6,ALTU,47.39,39.21,92.82,17.68,7.07,0.19,42.68
2016,1,6,BEAV,58.55,32.03,79.44,21.77,5.64,0.00,39.43
2016,1,6,NRMN,41.67,35.30,89.82,14.76,7.24,0.04,40.52
2016,1,6,TISH,41.81,34.43,89.20,11.18,3.13,0.52,40.37
2016,1,6,TULN,44.26,35.81,70.53,16.75,3.93,0.00,40.56
2016,1,7,ALTU,59.68,35.52,84.84,24.63,4.49,0.00,45.82
2016,1,7,BEAV,48.18,34.55,89.84,17.33,0.10,0.00,41.81
2016,1,7,NRMN,55.58,38.84,90.59,14.43,0.03,0.01,43.12
2016,1,7,TISH,55.49,41.83,96.35,15.84,2.49,0.14,44.60
2016,1,7,TULN,51.58,42.05,95.04,12.63,3.97,0.20,43.26
2016,1,8,ALTU,43.78,31.99,93.55,19.33,2.09,0.07,44.55
2016,1,8,BEAV,35.27,27.69,93.83,16.80,2.41,0.01,40.16
2016,1,8,NRMN,42.22,33.58,94.41,18.48,0.04,0.04,42.46
2016,1,8,TISH,45.06,33.96,96.84,17.45,0.30,0.00,43.70
2016,1,8,TULN,47.89,36.84,90.09,12.92,1.20,0.04,44.66
2016,1,9,ALTU,38.78,26.72,86.29,25.70,2.90,0.04,42.92
2016,1,9,BEAV,31.11,13.21,86.08,16.48,0.88,0.01,37.86
2016,1,9,NRMN,36.81,23.93,86.99,26.37,7.86,0.05,41.22
2016,1,9,TISH,40.30,26.48,86.60,20.98,6.87,0.02,41.56
2016,1,9,TULN,37.44,20.38,84.79,16.03,5.10,0.04,42.98
2016,1,10,ALTU,34.89,23.03,77.60,10.44,0.92,0.00,40.84
2016,1,10,BEAV,34.16,8.22,89.42,12.62,0.33,0.05,35.56
2016,1,10,NRMN,31.70,15.62,68.96,16.97,0.09,0.01,38.55
2016,1,10,TISH,35.23,19.13,68.45,12.67,0.00,0.00,36.66
2016,1,10,TULN,28.53,10.51,62.88,15.36,0.41,0.01,38.81
2016,1,11,ALTU,49.14,30.82,76.77,11.06,0.08,0.00,42.15
2016,1,11,BEAV,49.30,11.62,77.85,14.36,3.57,0.08,34.68
2016,1,11,NRMN,48.36,26.93,61.77,15.40,3.09,0.00,38.58
2016,1,11,TISH,46.81,24.95,71.74,14.09,0.00,0.00,37.00
2016,1,11,TULN,49.12,22.42,58.36,15.23,3.23,0.00,38.11
2016,1,12,ALTU,58.12,24.93,75.03,13.31,0.08,0.01,42.55
2016,1,12,BEAV,50.13,13.26,66.20,11.01,1.38,0.00,34.88
2016,1,12,NRMN,58.53,26.63,58.95,11.20,0.00,0.00,39.96
2016,1,12,TISH,61.16,25.21,68.19,9.23,0.00,0.00,39.32
2016,1,12,TULN,47.21,30.49,65.72,11.07,0.17,0.00,39.66
2016,1,13,ALTU,54.91,29.55,73.80,9.92,0.07,0.00,43.15
2016,1,13,BEAV,55.35,18.52,74.39,13.90,0.14,0.00,35.85
2016,1,13,NRMN,62.76,25.67,61.06,11.90,0.17,0.00,40.99
2016,1,13,TISH,63.50,27.13,70.63,11.63,0.00,0.00,41.40
2016,1,13,TULN,60.37,24.66,66.15,8.95,0.00,0.00,39.65
2016,1,14,ALTU,65.05,28.34,71.88,22.66,0.16,0.00,43.11
2016,1,14,BEAV,61.38,19.03,58.26,18.97,0.09,0.00,36.52
2016,1,14,NRMN,65.39,37.56,71.14,19.33,0.48,0.00,42.55
2016,1,14,TISH,64.60,36.96,80.36,23.33,3.76,0.00,44.59
2016,1,14,TULN,65.62,40.22,66.70,21.99,3.54,0.00,41.89
2016,1,15,ALTU,54.39,28.30,68.92,15.54,0.84,0.00,44.19
2016,1,15,BEAV,48.74,23.88,63.77,11.31,0.89,0.00,37.29
2016,1,15,NRMN,52.99,36.47,61.21,17.90,2.48,0.00,43.52
2016,1,15,TISH,57.72,40.42,64.12,14.91,2.02,0.00,45.86
2016,1,15,TULN,52.84,34.08,60.36,13.80,2.10,0.00,43.65
2016,1,16,ALTU,43.19,31.42,87.60,20.13,2.32,0.34,44.00
2016,1,16,BEAV,46.69,21.87,68.72,15.54,0.23,0.00,39.05
2016,1,16,NRMN,42.34,25.19,59.47,14.00,0.06,0.00,42.72
2016,1,16,TISH,43.15,24.99,78.29,23.44,0.05,0.19,41.56
2016,1,16,TULN,40.21,26.45,59.31,10.61,0.00,0.00,41.96
2016,1,17,ALTU,48.31,24.19,90.40,27.92,1.35,0.01,42.26
2016,1,17,BEAV,25.29,18.16,87.79,17.10,1.20,0.00,35.39
2016,1,17,NRMN,42.33,22.36,70.90,17.96,1.54,0.00,40.43
2016,1,17,TISH,51.67,19.62,78.57,17.81,0.11,0.03,40.75
2016,1,17,TULN,29.97,18.30,69.96,15.92,0.63,0.00,39.40
2016,1,18,ALTU,33.56,23.35,78.20,14.14,0.58,0.00,39.83
2016,1,18,BEAV,37.65,19.16,84.34,14.75,1.65,0.00,34.12
2016,1,18,NRMN,33.26,20.12,57.03,13.69,2.30,0.00,39.21
2016,1,18,TISH,39.64,20.66,66.20,15.03,1.67,0.00,38.45
2016,1,18,TULN,33.45,17.29,46.65,11.01,1.25,0.00,37.87
2016,1,19,ALTU,46.74,26.55,85.91,28.66,2.21,0.00,40.14
2016,1,19,BEAV,36.56,19.01,89.61,18.81,1.79,0.00,34.50
2016,1,19,NRMN,51.87,28.13,82.97,21.72,4.06,0.00,39.26
2016,1,19,TISH,48.90,30.48,86.18,17.44,2.53,0.00,38.71
2016,1,19,TULN,37.19,27.12,79.82,13.12,0.22,0.03,38.12
2016,1,20,ALTU,41.77,22.96,91.03,19.26,0.11,0.00,39.53
2016,1,20,BEAV,55.74,13.71,83.82,17.53,0.19,0.00,34.17
2016,1,20,NRMN,39.61,28.61,87.64,12.77,0.09,0.00,39.99
2016,1,20,TISH,37.98,31.73,89.76,12.33,0.20,0.00,39.92
2016,1,20,TULN,33.00,26.60,95.48,11.24,0.34,0.00,38.91
2016,1,21,ALTU,42.52,31.32,83.53,28.50,3.04,0.00,40.12
2016,1,21,BEAV,40.32,17.11,80.26,25.23,1.26,0.00,34.17
2016,1,21,NRMN,36.29,31.72,87.59,27.07,1.05,0.01,39.99
2016,1,21,TISH,39.88,33.26,90.09,22.91,3.68,0.01,40.27
2016,1,21,TULN,36.54,29.37,93.15,15.24,1.08,0.02,39.56
2016,1,22,ALTU,43.44,25.15,80.86,22.75,0.51,0.00,40.49
2016,1,22,BEAV,35.35,13.86,90.95,11.32,0.73,0.00,33.60
2016,1,22,NRMN,33.75,27.40,79.31,22.10,7.62,0.00,38.65
2016,1,22,TISH,42.12,28.15,70.83,22.75,4.54,0.00,38.45
2016,1,22,TULN,37.62,24.01,72.49,17.57,5.37,0.00,38.65
2016,1,23,ALTU,48.88,22.79,87.82,17.40,0.09,0.00,39.23
2016,1,23,BEAV,55.63,16.03,76.35,16.48,2.51,0.00,34.20
2016,1,23,NRMN,47.39,25.72,71.00,12.95,0.15,0.00,39.36
2016,1,23,TISH,45.45,26.14,74.72,14.87,0.51,0.00,39.16
2016,1,23,TULN,42.72,27.95,69.31,10.18,0.00,0.00,39.28
2016,1,24,ALTU,64.65,32.00,69.33,22.10,9.70,0.00,41.36
2016,1,24,BEAV,73.06,21.52,58.19,22.03,0.22,0.00,36.82
2016,1,24,NRMN,61.05,35.56,60.87,21.41,7.86,0.00,41.28
2016,1,24,TISH,57.85,29.72,71.22,26.82,2.72,0.00,40.32
2016,1,24,TULN,56.93,35.83,56.93,22.01,7.30,0.00,40.69
2016,1,25,ALTU,60.87,34.43,56.23,21.99,4.73,0.00,44.17
2016,1,25,BEAV,50.50,22.65,64.44,29.21,2.40,0.00,38.59
2016,1,25,NRMN,54.43,34.21,65.98,24.40,3.93,0.00,43.86
2016,1,25,TISH,58.12,35.67,70.43,17.28,3.50,0.00,45.34
2016,1,25,TULN,52.68,36.13,71.98,22.19,1.87,0.00,42.62
2016,1,26,ALTU,51.66,25.08,71.71,17.69,0.36,0.00,43.02
2016,1,26,BEAV,50.02,17.87,63.78,14.35,0.40,0.00,37.19
2016,1,26,NRMN,49.73,25.95,69.67,16.42,0.00,0.00,41.80
2016,1,26,TISH,51.24,28.91,66.30,18.88,0.50,0.00,42.29
2016,1,26,TULN,51.33,30.00,62.49,12.25,1.34,0.00,41.54
2016,1,27,ALTU,58.80,21.04,68.74,14.19,0.07,0.00,41.88
2016,1,27,BEAV,58.64,15.46,55.98,13.22,2.08,0.00,37.04
2016,1,27,NRMN,57.87,21.39,59.68,13.54,0.00,0.00,40.64
2016,1,27,TISH,55.69,23.93,61.58,7.91,1.02,0.00,41.32
2016,1,27,TULN,57.29,23.57,55.99,10.81,0.00,0.00,40.43
2016,1,28,ALTU,69.67,25.08,62.99,12.56,0.78,0.00,43.48
2016,1,28,BEAV,67.78,20.80,53.22,16.04,0.83,0.00,38.94
2016,1,28,NRMN,67.80,29.92,50.46,21.14,0.00,0.00,42.12
2016,1,28,TISH,66.85,26.63,57.50,12.84,1.10,0.00,42.57
2016,1,28,TULN,65.46,34.69,46.41,12.92,0.54,0.00,42.16
