"YEAR","MONTH","DAY","STID","TMAX","TMIN"
2016,1,1,ARD2,46.44,30.28
2016,1,1,BEAV,42.76,13.55
2016,1,1,BOIS,38.32,10.98
2016,1,1,CENT,47.57,26.99
2016,1,1,NRMN,42.29,25.67
2016,1,1,STIL,41.50,21.98
2016,1,1,TISH,47.32,28.00
2016,1,1,TULN,44.43,25.27
2016,1,1,WOOD,41.44,17.26
2016,1,2,ARD2,47.08,32.45
2016,1,2,BEAV,50.22,16.05
2016,1,2,BOIS,49.73,14.61
2016,1,2,CENT,48.78,25.07
2016,1,2,NRMN,49.73,27.96
2016,1,2,STIL,50.11,24.92
2016,1,2,TISH,46.28,31.07
2016,1,2,TULN,53.02,30.13
2016,1,2,WOOD,48.85,24.50
2016,1,3,ARD2,53.87,28.65
2016,1,3,BEAV,51.15,19.26
2016,1,3,BOIS,50.23,19.62
2016,1,3,CENT,53.98,21.20
2016,1,3,NRMN,47.35,25.48
2016,1,3,STIL,45.80,23.41
2016,1,3,TISH,54.12,25.73
2016,1,3,TULN,47.46,27.65
2016,1,3,WOOD,48.15,23.91
2016,1,4,ARD2,50.14,27.66
2016,1,4,BEAV,47.98,14.18
2016,1,4,BOIS,51.31,19.50
2016,1,4,CENT,50.50,23.45
2016,1,4,NRMN,48.04,23.60
2016,1,4,STIL,39.70,20.89
2016,1,4,TISH,49.39,28.14
2016,1,4,TULN,34.41,23.54
2016,1,4,WOOD,42.11,19.27
2016,1,5,ARD2,43.62,27.30
2016,1,5,BEAV,44.10,26.76
2016,1,5,BOIS,45.72,26.77
2016,1,5,CENT,43.32,21.73
2016,1,5,NRMN,44.11,22.21
2016,1,5,STIL,43.82,19.07
2016,1,5,TISH,43.52,25.36
2016,1,5,TULN,41.51,20.93
2016,1,5,WOOD,40.60,23.03
2016,1,6,ARD2,43.09,36.95
2016,1,6,BEAV,58.55,32.03
2016,1,6,BOIS,54.52,22.29
2016,1,6,CENT,43.62,34.11
2016,1,6,NRMN,41.67,35.30
2016,1,6,STIL,42.27,35.24
2016,1,6,TISH,41.81,34.43
2016,1,6,TULN,44.26,35.81
2016,1,6,WOOD,46.98,35.12
2016,1,7,ARD2,-996.00,-996.00
2016,1,7,BEAV,48.18,34.55
2016,1,7,BOIS,40.52,26.35
2016,1,7,CENT,56.93,43.68
2016,1,7,NRMN,55.58,38.84
2016,1,7,STIL,50.65,36.83
2016,1,7,TISH,55.49,41.83
2016,1,7,TULN,51.58,42.05
2016,1,7,WOOD,45.42,37.88
2016,1,8,ARD2,-996.00,-996.00
2016,1,8,BEAV,35.27,27.69
2016,1,8,BOIS,29.74,19.34
2016,1,8,CENT,44.85,32.41
2016,1,8,NRMN,42.22,33.58
2016,1,8,STIL,42.07,36.20
2016,1,8,TISH,45.06,33.96
2016,1,8,TULN,47.89,36.84
2016,1,8,WOOD,38.50,29.16
2016,1,9,ARD2,-996.00,-996.00
2016,1,9,BEAV,31.11,13.21
2016,1,9,BOIS,29.19,10.89
2016,1,9,CENT,40.89,26.77
2016,1,9,NRMN,36.81,23.93
2016,1,9,STIL,36.13,21.16
2016,1,9,TISH,40.30,26.48
2016,1,9,TULN,37.44,20.38
2016,1,9,WOOD,30.55,18.36
2016,1,10,ARD2,-996.00,-996.00
2016,1,10,BEAV,34.16,8.22
2016,1,10,BOIS,33.06,16.72
2016,1,10,CENT,33.80,18.43
2016,1,10,NRMN,31.70,15.62
2016,1,10,STIL,29.89,12.25
2016,1,10,TISH,35.23,19.13
2016,1,10,TULN,28.53,10.51
2016,1,10,WOOD,37.30,10.87
2016,1,11,ARD2,-996.00,-996.00
2016,1,11,BEAV,49.30,11.62
2016,1,11,BOIS,44.47,12.24
2016,1,11,CENT,45.17,20.14
2016,1,11,NRMN,48.36,26.93
2016,1,11,STIL,48.36,20.88
2016,1,11,TISH,46.81,24.95
2016,1,11,TULN,49.12,22.42
2016,1,11,WOOD,49.89,25.09
2016,1,12,ARD2,59.97,28.60
2016,1,12,BEAV,50.13,13.26
2016,1,12,BOIS,53.13,18.85
2016,1,12,CENT,60.57,23.57
2016,1,12,NRMN,58.53,26.63
2016,1,12,STIL,51.71,27.19
2016,1,12,TISH,61.16,25.21
2016,1,12,TULN,47.21,30.49
2016,1,12,WOOD,50.94,22.89
2016,1,13,ARD2,63.21,34.61
2016,1,13,BEAV,55.35,18.52
2016,1,13,BOIS,54.18,24.05
2016,1,13,CENT,63.95,26.08
2016,1,13,NRMN,62.76,25.67
2016,1,13,STIL,56.08,23.85
2016,1,13,TISH,63.50,27.13
2016,1,13,TULN,60.37,24.66
2016,1,13,WOOD,55.17,22.11
2016,1,14,ARD2,63.64,41.50
2016,1,14,BEAV,61.38,19.03
2016,1,14,BOIS,56.53,22.41
2016,1,14,CENT,66.13,37.01
2016,1,14,NRMN,65.39,37.56
