"YEAR","MONTH","DAY","STID","TMAX","TMIN"
2016,1,1,NRMN,42.29,25.67
2016,1,2,NRMN,49.73,27.96
2016,1,3,NRMN,47.35,25.48
2016,1,4,NRMN,48.04,23.60
2016,1,5,NRMN,44.11,22.21
2016,1,6,NRMN,41.67,35.30
2016,1,7,NRMN,55.58,38.84
2016,1,8,NRMN,42.22,33.58
2016,1,9,NRMN,36.81,23.93
2016,1,10,NRMN,31.70,15.62
2016,1,11,NRMN,48.36,26.93
2016,1,12,NRMN,58.53,26.63
2016,1,13,NRMN,62.76,25.67
2016,1,14,NRMN,65.39,37.56
2016,1,15,NRMN,52.99,36.47
2016,1,16,NRMN,42.34,25.19
2016,1,17,NRMN,42.33,22.36
2016,1,18,NRMN,33.26,20.12
2016,1,19,NRMN,51.87,28.13
2016,1,20,NRMN,39.61,28.61
2016,1,21,NRMN,36.29,31.72
2016,1,22,NRMN,33.75,27.40
2016,1,23,NRMN,47.39,25.72
2016,1,24,NRMN,61.05,35.56
2016,1,25,NRMN,54.43,34.21
2016,1,26,NRMN,49.73,25.95
2016,1,27,NRMN,57.87,21.39
2016,1,28,NRMN,67.80,29.92
2016,1,29,NRMN,76.14,41.75
2016,1,30,NRMN,75.24,33.76
2016,1,31,NRMN,62.46,39.35
2016,2,1,NRMN,66.61,35.57
2016,2,2,NRMN,52.74,34.28
2016,2,3,NRMN,42.85,28.68
2016,2,4,NRMN,50.04,22.47
2016,2,5,NRMN,55.47,33.74
2016,2,6,NRMN,51.49,37.92
2016,2,7,NRMN,59.70,33.12
2016,2,8,NRMN,50.22,30.63
2016,2,9,NRMN,52.25,26.94
2016,2,10,NRMN,72.00,24.78
2016,2,11,NRMN,62.01,35.95
2016,2,12,NRMN,60.93,31.15
2016,2,13,NRMN,58.75,30.36
2016,2,14,NRMN,57.79,42.86
2016,2,15,NRMN,62.96,38.68
2016,2,16,NRMN,60.78,36.79
2016,2,17,NRMN,70.59,32.34
2016,2,18,NRMN,75.94,51.51
2016,2,19,NRMN,74.64,56.50
2016,2,20,NRMN,82.60,53.65
2016,2,21,NRMN,64.92,48.38
2016,2,22,NRMN,61.41,38.15
2016,2,23,NRMN,50.20,39.60
2016,2,24,NRMN,58.35,33.79
2016,2,25,NRMN,49.87,29.91
2016,2,26,NRMN,59.97,23.73
2016,2,27,NRMN,71.89,34.41
2016,2,28,NRMN,72.86,46.74
2016,2,29,NRMN,75.07,41.83
2016,3,1,NRMN,57.92,39.31
2016,3,2,NRMN,67.62,40.09
2016,3,3,NRMN,63.61,40.74
2016,3,4,NRMN,71.40,35.97
2016,3,5,NRMN,74.66,38.47
2016,3,6,NRMN,71.04,52.21
2016,3,7,NRMN,64.27,58.89
2016,3,8,NRMN,64.63,52.16
2016,3,9,NRMN,-996.00,-996.00
2016,3,10,NRMN,68.83,54.36
2016,3,11,NRMN,65.97,49.68
2016,3,12,NRMN,66.15,53.80
2016,3,13,NRMN,67.53,50.34
2016,3,14,NRMN,82.45,47.17
2016,3,15,NRMN,72.14,49.35
2016,3,16,NRMN,69.64,36.90
2016,3,17,NRMN,69.89,48.74
2016,3,18,NRMN,56.28,37.73
2016,3,19,NRMN,55.69,33.11
2016,3,20,NRMN,50.40,28.19
2016,3,21,NRMN,66.83,30.76
2016,3,22,NRMN,75.88,47.70
2016,3,23,NRMN,80.67,46.51
2016,3,24,NRMN,57.69,37.10
2016,3,25,NRMN,66.94,28.48
2016,3,26,NRMN,73.60,49.30
2016,3,27,NRMN,57.31,37.51
2016,3,28,NRMN,70.05,31.23
2016,3,29,NRMN,72.30,50.90
2016,3,30,NRMN,83.08,61.30
2016,3,31,NRMN,65.98,48.58
2016,4,1,NRMN,60.62,44.28
2016,4,2,NRMN,70.16,31.67
2016,4,3,NRMN,77.04,45.09
2016,4,4,NRMN,82.96,49.51
2016,4,5,NRMN,85.78,55.20
2016,4,6,NRMN,73.02,49.06
2016,4,7,NRMN,77.36,48.29
2016,4,8,NRMN,71.08,41.41
2016,4,9,NRMN,74.08,49.19
2016,4,10,NRMN,84.74,56.25
